"";"Otros";"Comercio";"Industria";"Construccion";"Financiero";"Admon Publica";"Agricultura";"Medicina";"Cuarentena";"GastoPublico";"InversionSalud";"Pruebas";"ContactTracing";"PI";"Enforcement";"Tapabocas";"%PoblacionLibre"
"Sector123";0;0;0;0;0;0;1;1;0,85;25;6,6;14000;1;0,9;0,7;0,7396;0,30754215
"Sector223";0;0;0;0;0;1;1;1;0,85;25;6,6;14000;1;0,9;0,7;0,7396;0,3178983
"Sector323";0;0;0;0;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,7;0,7396;0,3192003
"Sector423";0;0;0;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,7;0,7396;0,32289
"Sector523";0;0;1;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,7;0,7396;0,32866395
"Sector623";0;1;1;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,7;0,7396;0,345843
"Sector723";1;1;1;1;1;1;1;1;0,85;25;6,6;14000;1;0,9;0,7;0,7396;0,405
"Sector16";0;0;0;0;0;0;1;1;0,1;20;4;5000;0;0,6;0,85;0,7396;0,20494995
"Sector26";0;0;0;0;0;1;1;1;0,1;20;4;5000;0;0,6;0,85;0,7396;0,2804019
"Sector36";0;0;0;0;1;1;1;1;0,1;20;4;5000;0;0,6;0,85;0,7396;0,2898879
"Sector46";0;0;0;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,85;0,7396;0,31677
"Sector56";0;0;1;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,85;0,7396;0,35883735
"Sector66";0;1;1;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,85;0,7396;0,483999
"Sector76";1;1;1;1;1;1;1;1;0,1;20;4;5000;0;0,6;0,85;0,7396;0,915
"Sector114";0;0;0;0;0;0;1;1;0,5;20;4;5000;0;0,6;0,85;0,7396;0,18052775
"Sector214";0;0;0;0;0;1;1;1;0,5;20;4;5000;0;0,6;0,85;0,7396;0,2224455
"Sector314";0;0;0;0;1;1;1;1;0,5;20;4;5000;0;0,6;0,85;0,7396;0,2277155
"Sector414";0;0;0;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,85;0,7396;0,24265
"Sector514";0;0;1;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,85;0,7396;0,26602075
"Sector614";0;1;1;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,85;0,7396;0,335555
"Sector714";1;1;1;1;1;1;1;1;0,5;20;4;5000;0;0,6;0,85;0,7396;0,575
"Sector124";0;0;0;0;0;0;1;1;0,85;20;4;5000;0;0,6;0,85;0,7396;0,159158325
"Sector224";0;0;0;0;0;1;1;1;0,85;20;4;5000;0;0,6;0,85;0,7396;0,17173365
"Sector324";0;0;0;0;1;1;1;1;0,85;20;4;5000;0;0,6;0,85;0,7396;0,17331465
"Sector424";0;0;0;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,85;0,7396;0,177795
"Sector524";0;0;1;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,85;0,7396;0,184806225
"Sector624";0;1;1;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,85;0,7396;0,2056665
"Sector724";1;1;1;1;1;1;1;1;0,85;20;4;5000;0;0,6;0,85;0,7396;0,2775
"Sector131";0;0;0;0;0;0;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,20494995
"Sector231";0;0;0;0;0;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,2804019
"Sector331";0;0;0;0;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,2898879
"Sector431";0;0;0;1;1;1;1;1;0,1;21,6666666666667;4,86666666666667;8000;0;0,7;0,85;0,7396;0,31677
